Label,I-L1_SigStat-MW,I-L1_StatSig-qMW,I-L1_Stat-StdAW,I-L1_Stat-Var,I-L1_Stat-Wb,I-L1_Stat-N6M,I-L1_Sig-QWM,I-L1_Sig-GRW,I-L1_Sig-FF
4,0.031543,0.777618,0.776978,0.603694,1.542856,2.638859,0.623605,0.691618,1.124346
4,0.031617,0.777335,0.776691,0.603249,1.543637,2.642,0.623306,0.691312,1.124433
4,0.031562,0.777044,0.776403,0.602802,1.542807,2.63909,0.623273,0.691175,1.124236
4,0.031658,0.776018,0.775372,0.601201,1.542015,2.636206,0.622745,0.690407,1.123999
4,0.031622,0.776094,0.77545,0.601322,1.542685,2.638946,0.622669,0.690401,1.124121
4,0.031655,0.776389,0.775744,0.601778,1.542564,2.639599,0.623256,0.69083,1.123849
4,0.03181,0.776363,0.775711,0.601728,1.543131,2.641645,0.623064,0.690715,1.124
4,0.031806,0.776278,0.775626,0.601595,1.542614,2.639222,0.622975,0.69064,1.123997
4,0.031777,0.776196,0.775545,0.60147,1.542781,2.638795,0.622283,0.69031,1.124416
4,0.031875,0.777393,0.776739,0.603323,1.542862,2.640074,0.623548,0.691501,1.124211
4,0.031861,0.777772,0.777119,0.603914,1.543304,2.641442,0.623719,0.691766,1.124329
4,0.031889,0.777545,0.77689,0.603559,1.543569,2.642321,0.623517,0.691541,1.124365
4,0.031731,0.776878,0.77623,0.602533,1.542768,2.639936,0.623365,0.691145,1.124045
4,0.03169,0.776649,0.776002,0.60218,1.543167,2.641472,0.623108,0.69089,1.124129
4,0.03169,0.776649,0.776002,0.602,1.542,2.641472,0.623108,0.69089,1.124129
4,0.03169,0.776649,0.776002,0.6,1.54,2.641472,0.623108,0.69089,1.124129
4,0.03169,0.776649,0.776002,0.601,1.541,2.641472,0.623108,0.69089,1.124129
